id,subtotal,zone_code,weight_kg,fee,created_at
188,2110000,inner,21.8,30000,2026-01-22
189,2160000,suburb,13.1,45000,2026-01-07
190,2600000,remote,1.5,70000,2026-08-25
191,2860000,suburb,11.1,45000,2026-03-10
192,2530000,remote,24.3,70000,2026-02-01
193,1270000,remote,13.9,70000,2026-03-10
194,2130000,remote,24.8,70000,2026-02-08
195,2410000,inner,20.8,30000,2026-02-21
196,1540000,suburb,20.9,45000,2026-05-14
197,1290000,suburb,3.8,45000,2026-08-18
198,2650000,inner,1.9,30000,2026-03-28
199,1790000,suburb,0.3,45000,2026-05-27
200,1570000,remote,3.9,70000,2026-08-28
201,2520000,remote,13.9,70000,2026-06-11
202,1980000,remote,21.8,70000,2026-08-11
203,1270000,remote,21.4,70000,2026-07-08
204,270000,suburb,11.9,45000,2026-06-24
205,2020000,suburb,24.1,45000,2026-03-16
206,2620000,inner,2.7,30000,2026-06-28
207,560000,suburb,18.1,45000,2026-08-01
208,840000,suburb,19.6,45000,2026-02-16
209,1780000,suburb,2.2,45000,2026-07-21
210,2780000,suburb,15.7,45000,2026-07-11
211,2820000,suburb,1.9,45000,2026-01-20
212,1520000,remote,2.4,70000,2026-04-24
213,560000,inner,17.4,30000,2026-08-06
214,280000,inner,1.6,30000,2026-06-26
215,1960000,suburb,6.3,45000,2026-07-05
216,2940000,suburb,4.5,45000,2026-03-06
217,2000000,remote,22.8,70000,2026-04-16
218,1230000,inner,6.5,30000,2026-08-21
219,90000,suburb,17.0,45000,2026-08-10
220,420000,inner,24.7,30000,2026-08-12
221,2220000,suburb,21.2,45000,2026-05-15
222,2010000,inner,6.1,30000,2026-08-04
223,1880000,remote,7.5,70000,2026-05-23
224,2070000,remote,14.2,70000,2026-05-01
225,300000,remote,22.6,70000,2026-08-27
226,1220000,suburb,16.0,45000,2026-06-08
227,1330000,remote,2.6,70000,2026-03-21
228,250000,remote,11.1,70000,2026-05-26
229,1910000,remote,22.8,70000,2026-03-03
230,2170000,suburb,3.5,45000,2026-03-07
231,1920000,remote,4.3,70000,2026-05-27
232,1560000,suburb,3.1,45000,2026-06-26
233,770000,inner,17.0,30000,2026-04-28
234,2080000,remote,19.8,70000,2026-06-03
235,1400000,inner,9.3,30000,2026-02-15
236,1390000,remote,16.0,70000,2026-07-27
237,600000,suburb,0.8,45000,2026-04-16
238,1720000,remote,1.8,70000,2026-04-21
239,1590000,suburb,3.7,45000,2026-07-04
240,1600000,inner,2.6,30000,2026-08-04
241,740000,remote,9.4,70000,2026-07-15
242,2810000,remote,18.6,70000,2026-07-19
243,2170000,inner,12.3,30000,2026-02-27
244,1480000,suburb,9.4,45000,2026-01-23
245,2320000,suburb,9.2,45000,2026-04-28
246,1930000,remote,10.1,70000,2026-06-02
247,670000,inner,16.6,30000,2026-08-03
248,150000,remote,8.5,70000,2026-01-26
249,2940000,inner,20.8,30000,2026-04-03
250,1110000,remote,21.8,70000,2026-04-27
251,800000,suburb,21.5,45000,2026-01-09
252,710000,inner,4.5,30000,2026-05-26
253,180000,remote,9.1,70000,2026-03-01
254,1700000,inner,6.8,30000,2026-01-06
255,2200000,inner,1.8,30000,2026-02-24
256,1900000,suburb,12.7,45000,2026-02-15
257,270000,remote,16.2,70000,2026-05-15
258,360000,inner,10.2,30000,2026-08-28
259,600000,remote,22.8,70000,2026-08-23
260,460000,inner,3.9,30000,2026-06-20
261,1450000,inner,24.9,30000,2026-06-13
262,1550000,remote,15.2,70000,2026-08-17
263,630000,inner,11.4,30000,2026-04-14
264,2160000,inner,11.4,30000,2026-06-27
265,530000,suburb,8.0,45000,2026-06-14
266,1960000,suburb,23.1,45000,2026-03-22
267,510000,inner,10.9,30000,2026-02-03
268,1950000,remote,1.7,70000,2026-03-18
269,2920000,remote,3.2,70000,2026-06-22
270,2210000,suburb,15.1,45000,2026-01-10
271,580000,suburb,16.5,45000,2026-04-05
272,600000,inner,14.0,30000,2026-06-28
273,1470000,inner,10.8,30000,2026-04-26
274,2900000,remote,23.2,70000,2026-01-20
275,1410000,remote,7.0,70000,2026-01-06
276,1780000,suburb,4.7,45000,2026-06-01
277,2940000,inner,3.7,30000,2026-07-03
278,200000,remote,13.4,70000,2026-02-24
279,2190000,suburb,4.1,45000,2026-08-11
280,1710000,suburb,4.1,45000,2026-02-02
281,300000,remote,11.2,70000,2026-02-09
282,2530000,suburb,7.0,45000,2026-08-14
283,630000,remote,3.0,70000,2026-06-14
284,2540000,remote,5.7,70000,2026-05-02
285,330000,remote,7.7,70000,2026-01-07
286,750000,inner,8.3,30000,2026-05-10
287,2590000,inner,3.4,30000,2026-07-06
288,1220000,remote,10.0,70000,2026-06-03
289,260000,remote,11.6,70000,2026-07-01
290,1650000,inner,10.2,30000,2026-07-19
291,2180000,remote,10.2,70000,2026-05-04
292,920000,suburb,17.3,45000,2026-08-27
293,500000,suburb,2.8,45000,2026-07-28
294,2100000,suburb,21.8,45000,2026-02-13
295,1780000,remote,19.5,70000,2026-04-11
296,2660000,inner,12.8,30000,2026-02-17
297,1840000,suburb,2.7,45000,2026-03-08
298,1060000,suburb,4.0,45000,2026-03-20
299,430000,remote,15.8,70000,2026-03-25
300,2930000,suburb,23.1,45000,2026-08-22
301,1700000,remote,11.1,70000,2026-06-05
302,2310000,suburb,7.0,45000,2026-05-26
303,1850000,inner,11.7,30000,2026-02-10
304,340000,inner,7.3,30000,2026-06-27
305,510000,remote,14.6,70000,2026-07-15
306,260000,remote,14.4,70000,2026-08-26
307,1690000,inner,3.9,30000,2026-08-17
308,2350000,inner,22.5,30000,2026-02-26
309,480000,suburb,6.3,45000,2026-03-02
310,2290000,suburb,9.4,45000,2026-03-12
311,2030000,suburb,8.6,45000,2026-07-25
312,310000,remote,8.4,70000,2026-06-03
313,2020000,remote,18.1,70000,2026-05-09
314,810000,remote,14.7,70000,2026-06-03
315,1840000,inner,17.5,30000,2026-05-21
316,710000,suburb,14.1,45000,2026-02-10
317,1730000,remote,17.6,70000,2026-03-22
318,2740000,remote,16.8,70000,2026-02-21
319,1900000,remote,7.9,70000,2026-01-12
320,1790000,inner,5.8,30000,2026-08-07
321,840000,inner,21.1,30000,2026-02-10
322,2640000,inner,8.6,30000,2026-01-22
323,720000,remote,4.2,70000,2026-07-05
324,890000,remote,10.4,70000,2026-08-02
325,1260000,remote,7.3,70000,2026-08-20
326,2340000,remote,6.1,70000,2026-04-18
327,1040000,suburb,23.7,45000,2026-06-22
328,2410000,suburb,9.7,45000,2026-05-25
329,2190000,remote,5.2,70000,2026-03-27
330,750000,remote,16.1,70000,2026-05-02
331,2880000,suburb,21.2,45000,2026-02-23
332,1500000,inner,4.2,30000,2026-02-25
333,2670000,suburb,11.0,45000,2026-03-27
334,2350000,inner,10.5,30000,2026-06-01
335,2620000,suburb,9.8,45000,2026-06-08
336,1960000,inner,8.1,30000,2026-04-01
337,1760000,inner,1.1,30000,2026-03-05
338,760000,suburb,15.5,45000,2026-08-15
339,140000,inner,20.9,30000,2026-05-07
340,2750000,remote,19.4,70000,2026-07-04
341,1590000,inner,6.1,30000,2026-02-02
342,2390000,remote,20.9,70000,2026-02-04
343,2790000,suburb,13.0,45000,2026-01-21
344,780000,inner,0.2,30000,2026-05-14
345,1280000,suburb,16.7,45000,2026-07-06
346,2730000,inner,23.8,30000,2026-06-03
347,2640000,remote,21.9,70000,2026-01-13
348,2030000,inner,18.7,30000,2026-06-09
349,390000,suburb,18.4,45000,2026-06-08
350,580000,remote,1.3,70000,2026-06-05
351,1780000,remote,19.5,70000,2026-03-27
352,2500000,suburb,3.5,45000,2026-03-26
353,2390000,remote,5.2,70000,2026-01-10
354,260000,inner,13.0,30000,2026-06-10
355,2470000,remote,18.9,70000,2026-05-02
356,1510000,inner,19.6,30000,2026-06-28
357,1740000,remote,20.0,70000,2026-05-04
358,2090000,suburb,8.6,45000,2026-08-13
359,2590000,inner,23.1,30000,2026-08-12
360,1410000,remote,10.7,70000,2026-02-24
361,970000,suburb,2.7,45000,2026-05-11
362,1560000,suburb,15.1,45000,2026-05-15
363,900000,suburb,11.3,45000,2026-08-12
364,1850000,remote,16.1,70000,2026-07-09
365,430000,inner,12.9,30000,2026-07-12
366,860000,remote,21.2,70000,2026-01-05
367,2290000,remote,1.9,70000,2026-01-05
368,1920000,remote,23.7,70000,2026-06-13
369,830000,inner,9.4,30000,2026-08-12
370,2980000,inner,9.3,30000,2026-03-17
371,1470000,suburb,0.8,45000,2026-04-04
372,2600000,inner,3.1,30000,2026-07-18
373,2330000,suburb,7.3,45000,2026-04-20
374,1070000,suburb,21.4,45000,2026-02-05
375,930000,suburb,20.3,45000,2026-08-03
376,1820000,suburb,13.6,45000,2026-02-18
377,850000,suburb,9.2,45000,2026-03-26
378,670000,inner,3.6,30000,2026-04-26
379,180000,suburb,14.4,45000,2026-06-18
380,2870000,suburb,22.1,45000,2026-03-20
381,1630000,inner,18.0,30000,2026-07-23
382,2150000,remote,14.5,70000,2026-07-27
383,1670000,inner,11.8,30000,2026-02-15
384,1810000,remote,19.6,70000,2026-03-27
385,980000,remote,12.7,70000,2026-03-14
386,680000,inner,4.3,30000,2026-03-10
387,1200000,suburb,22.4,45000,2026-06-17
388,1330000,inner,23.9,30000,2026-04-21
389,690000,suburb,13.4,45000,2026-05-20
390,910000,remote,16.5,70000,2026-03-06
391,1770000,remote,21.6,70000,2026-01-27
392,280000,inner,5.4,30000,2026-05-21
393,2180000,remote,22.2,70000,2026-01-16
394,1530000,remote,6.3,70000,2026-05-16
395,2120000,remote,2.0,70000,2026-05-15
396,850000,inner,12.2,30000,2026-08-14
397,1790000,inner,21.6,30000,2026-03-11
398,1810000,suburb,19.1,45000,2026-07-05
399,2920000,remote,6.2,70000,2026-02-11
400,1410000,inner,3.7,30000,2026-08-08
401,1530000,inner,15.5,30000,2026-07-28
402,860000,inner,18.1,30000,2026-06-19
403,860000,inner,11.8,30000,2026-08-17
404,2590000,suburb,23.6,45000,2026-01-03
405,2390000,remote,14.7,70000,2026-04-07
406,300000,inner,15.0,30000,2026-05-16
407,2450000,remote,0.4,70000,2026-05-18
408,2250000,inner,18.2,30000,2026-03-09
409,1920000,suburb,1.5,45000,2026-01-13
410,1040000,remote,7.4,70000,2026-06-18
411,2630000,suburb,13.8,45000,2026-08-25
412,650000,remote,10.0,70000,2026-03-04
413,2900000,suburb,3.8,45000,2026-06-25
414,2650000,remote,1.2,70000,2026-07-17
415,750000,inner,11.9,30000,2026-06-26
416,810000,suburb,23.3,45000,2026-03-11
417,880000,suburb,18.5,45000,2026-07-20
418,1770000,suburb,14.2,45000,2026-08-23
419,130000,suburb,16.9,45000,2026-06-11
420,1620000,suburb,12.0,45000,2026-01-20
421,1210000,remote,12.1,70000,2026-01-19
422,1990000,remote,17.1,70000,2026-03-27
423,2980000,inner,0.7,30000,2026-02-07
424,2190000,suburb,17.3,45000,2026-03-14
425,2610000,suburb,21.2,45000,2026-08-28
426,360000,remote,5.3,70000,2026-03-17
427,2490000,suburb,23.9,45000,2026-07-11
428,2770000,suburb,9.0,45000,2026-06-18
429,1400000,remote,23.9,70000,2026-08-07
430,2900000,suburb,23.5,45000,2026-05-08
431,1520000,suburb,17.7,45000,2026-04-23
432,2500000,suburb,23.4,45000,2026-06-18
433,1450000,remote,14.4,70000,2026-05-04
434,1990000,remote,8.8,70000,2026-07-27
435,1530000,inner,23.9,30000,2026-01-10
436,1820000,inner,6.6,30000,2026-08-21
437,1140000,suburb,13.6,45000,2026-04-27
438,1440000,remote,15.5,70000,2026-03-04
439,1270000,remote,16.8,70000,2026-04-02
440,1200000,remote,2.7,70000,2026-04-02
441,2460000,suburb,19.3,45000,2026-02-22
442,2860000,inner,16.4,30000,2026-03-14
443,2490000,suburb,24.1,45000,2026-04-25
444,1510000,suburb,2.4,45000,2026-01-25
445,1230000,remote,10.6,70000,2026-01-06
446,230000,inner,12.5,30000,2026-07-26
447,1530000,remote,7.6,70000,2026-01-01
448,590000,remote,11.5,70000,2026-06-10
449,2830000,remote,21.3,70000,2026-08-05
450,1440000,suburb,3.0,45000,2026-04-26
451,2390000,inner,4.8,30000,2026-05-23
452,1770000,remote,16.9,70000,2026-05-19
453,940000,inner,10.8,30000,2026-07-27
454,490000,suburb,2.6,45000,2026-07-22
455,2490000,inner,0.4,30000,2026-06-08
456,1250000,suburb,6.8,45000,2026-08-25
457,1590000,suburb,16.4,45000,2026-01-09
458,1250000,remote,3.1,70000,2026-01-22
459,860000,suburb,12.7,45000,2026-07-22
460,1640000,remote,22.9,70000,2026-02-21
461,1930000,suburb,23.9,45000,2026-04-08
462,830000,suburb,24.7,45000,2026-08-24
463,2170000,suburb,13.5,45000,2026-08-25
464,1160000,remote,18.9,70000,2026-04-22
465,2740000,inner,17.7,30000,2026-08-17
466,2930000,inner,20.8,30000,2026-02-02
467,1080000,remote,8.3,70000,2026-03-06
468,2310000,remote,5.3,70000,2026-02-22
469,2550000,remote,11.2,70000,2026-02-17
470,2370000,inner,10.5,30000,2026-03-17
471,340000,remote,20.2,70000,2026-08-22
472,160000,remote,20.4,70000,2026-07-09
473,1160000,remote,10.7,70000,2026-02-02
474,370000,remote,24.7,70000,2026-01-03
475,210000,suburb,4.7,45000,2026-05-14
476,2200000,inner,11.3,30000,2026-06-13
477,1970000,suburb,24.1,45000,2026-02-22
478,730000,remote,4.6,70000,2026-06-04
479,2060000,remote,24.5,70000,2026-03-24
480,160000,inner,16.9,30000,2026-05-15
481,2220000,remote,5.9,70000,2026-07-27
482,1820000,suburb,4.9,45000,2026-03-09
483,620000,remote,16.6,70000,2026-01-26
484,130000,remote,1.9,70000,2026-04-07
485,220000,remote,16.9,70000,2026-08-20
486,1300000,inner,11.1,30000,2026-01-13
487,1160000,remote,12.7,70000,2026-01-05
488,1240000,suburb,15.0,45000,2026-06-19
489,1690000,remote,21.9,70000,2026-04-10
490,2710000,remote,7.7,70000,2026-04-14
491,2900000,inner,17.0,30000,2026-03-21
492,2580000,remote,23.6,70000,2026-01-12
493,2000000,remote,10.5,70000,2026-06-23
494,1580000,inner,18.9,30000,2026-07-06
495,1280000,suburb,21.5,45000,2026-04-10
496,2420000,inner,10.4,30000,2026-01-18
497,2900000,suburb,6.2,45000,2026-03-13
498,1740000,inner,21.2,30000,2026-02-15
499,2790000,inner,6.9,30000,2026-04-02
500,250000,remote,20.2,70000,2026-02-07
501,2910000,remote,5.4,70000,2026-04-16
502,1600000,suburb,23.4,45000,2026-01-07
503,650000,remote,17.5,70000,2026-08-08
504,1090000,remote,13.9,70000,2026-07-08
505,1990000,suburb,16.3,45000,2026-08-18
506,1380000,suburb,22.1,45000,2026-06-17
507,550000,suburb,21.0,45000,2026-08-25
508,1940000,inner,1.3,30000,2026-06-14
509,790000,inner,13.9,30000,2026-01-09
510,2180000,remote,5.1,70000,2026-05-05
511,1990000,inner,13.9,30000,2026-04-16
512,1770000,remote,20.6,70000,2026-05-25
513,2560000,remote,18.4,70000,2026-08-06
514,910000,suburb,13.8,45000,2026-03-24
515,2820000,inner,1.0,30000,2026-01-17
516,290000,inner,3.6,30000,2026-01-14
517,1230000,remote,3.9,70000,2026-02-23
518,2630000,inner,1.7,30000,2026-08-12
519,2520000,remote,0.4,70000,2026-08-01
520,2150000,remote,13.3,70000,2026-01-01
521,2790000,suburb,12.7,45000,2026-05-01
522,2250000,remote,23.0,70000,2026-03-04
523,810000,remote,15.6,70000,2026-04-07
524,1860000,suburb,10.0,45000,2026-05-26
525,2120000,suburb,6.2,45000,2026-08-19
526,1200000,remote,20.7,70000,2026-05-22
527,210000,inner,9.6,30000,2026-02-13
528,2480000,remote,0.4,70000,2026-01-21
529,470000,inner,11.0,30000,2026-08-28
530,2940000,suburb,23.0,45000,2026-02-17
531,1130000,inner,1.4,30000,2026-08-09
532,1480000,inner,23.2,30000,2026-01-06
533,130000,suburb,3.8,45000,2026-04-19
534,2080000,remote,4.2,70000,2026-02-10
535,2950000,inner,22.4,30000,2026-07-22
536,2010000,suburb,24.7,45000,2026-03-26
537,450000,remote,2.6,70000,2026-06-02
538,430000,inner,19.3,30000,2026-06-20
539,2080000,remote,15.9,70000,2026-06-01
540,2560000,suburb,13.9,45000,2026-04-12
541,2260000,suburb,14.7,45000,2026-03-22
542,480000,suburb,6.3,45000,2026-05-26
543,470000,inner,9.6,30000,2026-05-05
544,830000,remote,9.1,70000,2026-07-11
545,70000,inner,9.1,30000,2026-05-15
546,570000,suburb,4.8,45000,2026-03-03
547,2900000,suburb,0.9,45000,2026-07-04
548,2880000,suburb,15.0,45000,2026-02-20
549,2020000,suburb,10.5,45000,2026-01-10
550,2910000,inner,13.1,30000,2026-04-19
551,1990000,remote,6.9,70000,2026-03-05
552,2570000,suburb,4.3,45000,2026-03-03
553,2200000,suburb,19.6,45000,2026-05-16
554,1330000,suburb,15.7,45000,2026-04-24
555,1050000,remote,3.6,70000,2026-08-04
556,2070000,inner,15.6,30000,2026-06-27
557,2300000,suburb,20.4,45000,2026-06-14
558,740000,remote,15.2,70000,2026-05-11
559,1070000,remote,4.6,70000,2026-08-11
560,1680000,suburb,17.4,45000,2026-05-24
561,2990000,suburb,9.5,45000,2026-04-11
562,1910000,suburb,5.2,45000,2026-02-19
563,970000,remote,11.6,70000,2026-01-24
564,1120000,remote,7.4,70000,2026-08-26
565,400000,remote,12.6,70000,2026-07-22
566,1600000,remote,16.5,70000,2026-04-09
567,2210000,remote,11.3,70000,2026-07-03
568,2500000,remote,12.8,70000,2026-07-18
569,2190000,remote,24.2,70000,2026-01-26
570,2790000,remote,19.3,70000,2026-02-04
571,1860000,remote,15.4,70000,2026-03-21
572,2090000,remote,10.9,70000,2026-06-26
573,550000,inner,12.9,30000,2026-05-08
574,2900000,remote,9.5,70000,2026-04-15
575,2610000,suburb,24.9,45000,2026-03-12
576,580000,suburb,23.0,45000,2026-05-14
577,640000,inner,7.9,30000,2026-03-12
578,1100000,suburb,12.0,45000,2026-08-12
579,2360000,suburb,7.6,45000,2026-06-03
580,630000,remote,8.7,70000,2026-01-28
581,890000,inner,4.5,30000,2026-04-17
582,1740000,inner,6.0,30000,2026-07-15
583,990000,suburb,16.5,45000,2026-03-21
584,190000,suburb,14.9,45000,2026-04-15
585,70000,suburb,7.1,45000,2026-04-07
586,370000,remote,21.8,70000,2026-02-26
587,1920000,inner,11.5,30000,2026-06-07
588,2550000,suburb,9.8,45000,2026-06-20
589,630000,suburb,21.2,45000,2026-06-12
590,930000,remote,14.8,70000,2026-05-20
591,730000,remote,6.1,70000,2026-06-04
592,980000,inner,3.7,30000,2026-06-23
593,2190000,suburb,9.7,45000,2026-03-19
594,2540000,inner,4.3,30000,2026-03-18
595,760000,suburb,21.1,45000,2026-03-11
596,320000,remote,12.2,70000,2026-06-01
597,2010000,inner,17.2,30000,2026-08-14
598,2320000,suburb,2.3,45000,2026-08-06
599,1170000,inner,7.0,30000,2026-05-02
600,1520000,remote,11.5,70000,2026-03-25
601,2580000,remote,3.0,70000,2026-02-19
602,1920000,remote,18.0,70000,2026-01-25
603,1160000,remote,18.5,70000,2026-07-04
604,1310000,remote,25.0,70000,2026-05-28
605,1390000,suburb,20.5,45000,2026-06-28
